Symbol,Sector,industry
CLCD,Health Care,Major Pharmaceuticals
COLB,Finance,Major Banks
COLM,Consumer Non-Durables,Apparel
CMCO,Capital Goods,Construction/Ag Equipment/Trucks
CBMX,Health Care,Hospital/Nursing Management
CMCSA,Consumer Services,Television Services
CMCSK,Consumer Services,Television Services
CBSH,Finance,Major Banks
CBSHP,Finance,Major Banks
CUBN,n/a,n/a
CVGI,Capital Goods,Auto Parts:O.E.M.
COMM,Technology,Radio And Television Broadcasting And Communications Equipment
CSAL,Consumer Services,Real Estate Investment Trusts
JCS,Public Utilities,Telecommunications Equipment
ESXB,Finance,Major Banks
CYHHZ,Health Care,Hospital/Nursing Management
CTBI,Finance,Major Banks
CWBC,Finance,Major Banks
COB,Finance,Major Banks
CVLT,Technology,Computer Software: Prepackaged Software
CGEN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CPSI,Technology,EDP Services
CTG,Technology,EDP Services
SCOR,Miscellaneous,Business Services
CHCI,Capital Goods,Homebuilding
CMTL,Technology,Radio And Television Broadcasting And Communications Equipment
CNAT,Health Care,Major Pharmaceuticals
CNCE,Health Care,Major Pharmaceuticals
CXRX,n/a,n/a
CCUR,Technology,Computer Manufacturing
CDOR,Consumer Services,Real Estate Investment Trusts
CDORO,Consumer Services,Real Estate Investment Trusts
CDORP,Consumer Services,Real Estate Investment Trusts
CFMS,Health Care,Industrial Specialties
CNFR,Finance,Property-Casualty Insurers
CNMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CTWS,Public Utilities,Water Supply
CNOB,Finance,Major Banks
CNXR,Technology,Computer Software: Prepackaged Software
CONN,Consumer Services,Consumer Electronics/Video Chains
CNSL,Public Utilities,Telecommunications Equipment
CWCO,Public Utilities,Water Supply
CTCT,Technology,Advertising
CPSS,Finance,Finance: Consumer Services
CFRX,Health Care,Major Pharmaceuticals
CFRXW,Health Care,Major Pharmaceuticals
CTRV,Health Care,Major Pharmaceuticals
CTRL,Capital Goods,Electrical Products
CPRT,Consumer Durables,Automotive Aftermarket
COYN,Technology,Computer Communications Equipment
COYNW,Technology,Computer Communications Equipment
CRBP,Health Care,Major Pharmaceuticals
CORT,Health Care,Major Pharmaceuticals
BVA,n/a,n/a
CORE,Consumer Non-Durables,Food Distributors
CORI,Health Care,Major Pharmaceuticals
CSOD,Technology,Computer Software: Prepackaged Software
CRVL,Finance,Specialty Insurers
COSI,Consumer Services,Restaurants
CSGP,Miscellaneous,Business Services
COST,Consumer Services,Department/Specialty Retail Stores
CPAH,Technology,Computer Software: Prepackaged Software
ICBK,n/a,n/a
CVTI,Transportation,Trucking Freight/Courier Services
COVS,Technology,EDP Services
COWN,Finance,Investment Bankers/Brokers/Service
COWNL,Finance,Investment Bankers/Brokers/Service
PMTS,Finance,Finance Companies
CPSH,Capital Goods,Building Materials
CRAI,Miscellaneous,Other Consumer Services
CBRL,Consumer Services,Restaurants
BREW,Consumer Non-Durables,Beverages (Production/Distribution)
CRAY,Technology,Computer Manufacturing
CACC,Finance,Finance: Consumer Services
GLDI,Finance,Investment Bankers/Brokers/Service
SLVO,Finance,Investment Bankers/Brokers/Service
CREE,Technology,Semiconductors
CRESY,Finance,Real Estate
CRTO,Technology,Advertising
CROX,Consumer Non-Durables,Shoe Manufacturing
CCRN,Technology,Professional Services
CRDS,Technology,Computer peripheral equipment
CRWS,Basic Industries,Textiles
CRWN,Consumer Services,Television Services
CYRX,Capital Goods,Containers/Packaging
CYRXW,Capital Goods,Containers/Packaging
CSGS,Technology,EDP Services
CCLP,Energy,Oilfield Services/Equipment
CSPI,Technology,EDP Services
CSWI,Basic Industries,Home Furnishings
CTCM,Consumer Services,Broadcasting
CTIC,Health Care,Major Pharmaceuticals
CTIB,Basic Industries,Specialty Chemicals
CTRP,Miscellaneous,Business Services
CUNB,Finance,Major Banks
CUI,Consumer Non-Durables,Electronic Components
CPIX,Health Care,Major Pharmaceuticals
CMLS,Consumer Services,Broadcasting
CRIS,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CUTR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CVBF,Finance,Major Banks
CVV,Technology,Industrial Machinery/Components
CYAN,Consumer Durables,Specialty Chemicals
CYBR,Technology,Computer Software: Prepackaged Software
CYBE,Capital Goods,Electronic Components
CYCC,Health Care,Major Pharmaceuticals
CYCCP,Health Care,Major Pharmaceuticals
CBAY,Health Care,Major Pharmaceuticals
CYNA,Health Care,Major Pharmaceuticals
CYNO,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CY,Technology,Semiconductors
CYRN,Technology,Computer Software: Prepackaged Software
CONE,Consumer Services,Real Estate Investment Trusts
CYTK,Health Care,Major Pharmaceuticals
CTMX,Health Care,Major Pharmaceuticals
CYTX,Health Care,Medical/Dental Instruments
CTSO,Health Care,Medical/Dental Instruments
CYTR,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TVIZ,Finance,Investment Bankers/Brokers/Service
TVIX,Finance,Investment Bankers/Brokers/Service
ZIV,Finance,Investment Bankers/Brokers/Service
XIV,Finance,Investment Bankers/Brokers/Service
DJCO,Consumer Services,Newspapers/Magazines
DAKT,Consumer Durables,Miscellaneous manufacturing industries
DARA,Health Care,Major Pharmaceuticals
DAIO,Capital Goods,Electrical Products
DTLK,Technology,EDP Services
DRAM,Technology,Electronic Components
DWCH,Technology,Computer Software: Prepackaged Software
PLAY,Consumer Services,Restaurants
DTEA,Consumer Non-Durables,Food Chains
DWSN,Energy,Oil & Gas Production
DBVT,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DHRM,Health Care,Medical/Dental Instruments
DFRG,Consumer Services,Restaurants
TACO,Consumer Services,Restaurants
TACOW,Consumer Services,Restaurants
DCTH,Health Care,Medical/Dental Instruments
DGAS,Public Utilities,Oil & Gas Production
DELT,Basic Industries,Major Chemicals
DELTW,Basic Industries,Major Chemicals
DENN,Consumer Services,Restaurants
XRAY,Health Care,Medical/Dental Instruments
DEPO,Health Care,Major Pharmaceuticals
DSCI,Health Care,Medical/Dental Instruments
DERM,Health Care,Major Pharmaceuticals
DEST,Consumer Services,Clothing/Shoe/Accessory Stores
DXLG,Consumer Services,Clothing/Shoe/Accessory Stores
DSWL,Consumer Non-Durables,Plastic Products
DTRM,Technology,Computer Software: Prepackaged Software
DXM,Consumer Services,Advertising
DXCM,Health Care,Medical/Dental Instruments
DHXM,n/a,n/a
DMND,Consumer Non-Durables,Packaged Foods
DHIL,Finance,Investment Managers
FANG,Energy,Oil & Gas Production
DCIX,Transportation,Marine Transportation
DRNA,Health Care,Major Pharmaceuticals
DGII,Technology,Computer Communications Equipment
DMRC,Technology,EDP Services
DRAD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DGLY,Technology,Radio And Television Broadcasting And Communications Equipment
APPS,Miscellaneous,Multi-Sector Companies
DCOM,Finance,Savings Institutions
DMTX,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DIOD,Technology,Semiconductors
DPRX,Health Care,Major Pharmaceuticals
DISCA,Consumer Services,Television Services
DISCB,Consumer Services,Television Services
DISCK,Consumer Services,Television Services
DSCO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DISH,Consumer Services,Television Services
DVCR,Health Care,Hospital/Nursing Management
SAUC,Consumer Services,Restaurants
DLHC,Technology,Professional Services
DNBF,Finance,Major Banks
DLTR,Consumer Services,Department/Specialty Retail Stores
DGICA,Finance,Property-Casualty Insurers
DGICB,Finance,Property-Casualty Insurers
DMLP,Energy,Oil & Gas Production
DORM,Capital Goods,Auto Parts:O.E.M.
EAGL,Finance,Business Services
EAGLU,Finance,Business Services
EAGLW,Finance,Business Services
DRWI,Public Utilities,Telecommunications Equipment
DRWIW,Public Utilities,Telecommunications Equipment
DWA,Consumer Services,Movies/Entertainment
DRYS,Transportation,Marine Transportation
DSKX,Consumer Non-Durables,Package Goods/Cosmetics
DSPG,Technology,Semiconductors
CADT,Finance,Business Services
CADTR,Finance,Business Services
CADTU,Finance,Business Services
CADTW,Finance,Business Services
DTSI,Miscellaneous,Multi-Sector Companies
DLTH,Consumer Services,Clothing/Shoe/Accessory Stores
DNKN,Consumer Services,Restaurants
DRRX,Health Care,Major Pharmaceuticals
DXPE,Capital Goods,Industrial Machinery/Components
DYAX,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BOOM,Capital Goods,Industrial Specialties
DYSL,Capital Goods,Industrial Machinery/Components
DYNT,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
DVAX,Health Care,Major Pharmaceuticals
ETFC,Finance,Savings Institutions
EBMT,Finance,Savings Institutions
EGBN,Finance,Major Banks
EGLE,Transportation,Marine Transportation
EGRX,Health Care,Major Pharmaceuticals
ELNK,Technology,"Computer Software: Programming, Data Processing"
EWBC,Finance,Major Banks
EACQ,Finance,Business Services
EACQU,Finance,Business Services
EACQW,Finance,Business Services
EML,Capital Goods,Industrial Machinery/Components
EVBS,Finance,Major Banks
EBAY,Miscellaneous,Business Services
EBIX,Technology,EDP Services
ELON,Technology,Computer Communications Equipment
ECHO,Transportation,Oil Refining/Marketing
ECTE,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SATS,Technology,Radio And Television Broadcasting And Communications Equipment
EEI,Consumer Services,Military/Government/Technical
ECAC,Finance,Business Services
ECACR,Finance,Business Services
ECACU,Finance,Business Services
ESES,Energy,Oilfield Services/Equipment
EDAP,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDGE,Health Care,Major Pharmaceuticals
EDGW,Technology,"Computer Software: Programming, Data Processing"
EDUC,Consumer Durables,Consumer Specialties
EFUT,Technology,EDP Services
EGAN,Technology,Computer Software: Prepackaged Software
EGLT,Health Care,Major Pharmaceuticals
EHTH,Finance,Specialty Insurers
LOCO,Consumer Services,Restaurants
EMITF,Consumer Services,Building operators
ESLT,Capital Goods,Military/Government/Technical
ERI,Consumer Services,Hotels/Resorts
ELRC,Technology,Diversified Commercial Services
ESIO,Miscellaneous,Industrial Machinery/Components
EA,Technology,Computer Software: Prepackaged Software
EFII,Technology,Computer Communications Equipment
ELSE,Capital Goods,Industrial Machinery/Components
ELEC,Finance,Business Services
ELECU,Finance,Business Services
ELECW,Finance,Business Services
EBIO,Health Care,Major Pharmaceuticals
RDEN,Consumer Non-Durables,Package Goods/Cosmetics
CAPX,n/a,n/a
ESBK,Finance,Major Banks
LONG,Consumer Services,Transportation Services
ELTK,Technology,Electrical Products
EMCI,Finance,Property-Casualty Insurers
EMCF,Finance,Major Banks
EMKR,Technology,Semiconductors
EMMS,Consumer Services,Broadcasting
EMMSP,Consumer Services,Broadcasting
NYNY,Consumer Services,Restaurants
ERS,Basic Industries,Metal Fabrications
ENTA,Health Care,Major Pharmaceuticals
ECPG,Finance,Finance Companies
WIRE,Capital Goods,Metal Fabrications
ENDP,Health Care,Major Pharmaceuticals
ECYT,Health Care,Major Pharmaceuticals
ELGX,Health Care,Medical/Dental Instruments
EIGI,Technology,Computer Software: Prepackaged Software
WATT,Technology,Radio And Television Broadcasting And Communications Equipment
EFOI,Consumer Durables,Building Products
ERII,Technology,Industrial Machinery/Components
EXXI,Energy,Oil & Gas Production
ENOC,Technology,"Computer Software: Programming, Data Processing"
ENG,Consumer Services,Military/Government/Technical
ENPH,Technology,Semiconductors
ESGR,Finance,Property-Casualty Insurers
ENFC,Finance,Banks
ENTG,Consumer Non-Durables,Plastic Products
ENTL,Health Care,Medical/Dental Instruments
ETRM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EBTC,Finance,Major Banks
EFSC,Finance,Major Banks
EGT,Consumer Durables,Miscellaneous manufacturing industries
ENZN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENZY,Consumer Durables,Specialty Chemicals
EPIQ,Technology,EDP Services
EPRS,Health Care,Major Pharmaceuticals
EPZM,Health Care,Major Pharmaceuticals
PLUS,Technology,Retail: Computer Software & Peripheral Equipment
EQIX,Consumer Services,Real Estate Investment Trusts
EQFN,Finance,Savings Institutions
EQBK,Finance,Major Banks
EAC,Capital Goods,Aerospace
ERIC,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Finance,Specialty Insurers
ESCA,Consumer Non-Durables,Recreational Products/Toys
ESMC,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ESPR,Health Care,Major Pharmaceuticals
ESSA,Finance,Banks
EPIX,Health Care,Major Pharmaceuticals
ESND,Consumer Services,Paper
ESSX,n/a,n/a
ETSY,Miscellaneous,Business Services
CLWT,Consumer Durables,Diversified Electronic Products
EEFT,Finance,Investment Bankers/Brokers/Service
ESEA,Transportation,Marine Transportation
EVEP,Energy,Oil & Gas Production
EVK,Consumer Non-Durables,Apparel
EVLV,Consumer Services,Catalog/Specialty Distribution
EVOK,Health Care,Major Pharmaceuticals
EVOL,Technology,EDP Services
EXA,Technology,Computer Software: Prepackaged Software
EXAS,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXAC,Health Care,Industrial Specialties
EXEL,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFO,Capital Goods,Electrical Products
EXLS,Miscellaneous,Business Services
EXPE,Consumer Services,Transportation Services
EXPD,Transportation,Oil Refining/Marketing
EXPO,Consumer Services,Professional Services
ESRX,Health Care,Medical/Nursing Services
EXTR,Technology,Computer Communications Equipment
EYEG,Health Care,Major Pharmaceuticals
EYEGW,Health Care,Major Pharmaceuticals
EZCH,Technology,Computer Communications Equipment
EZPW,Consumer Services,Other Specialty Stores
FFIV,Technology,Computer Communications Equipment
FB,Technology,"Computer Software: Programming, Data Processing"
FCS,Technology,Semiconductors
FRP,Public Utilities,Telecommunications Equipment
FWM,Consumer Services,Food Chains
FALC,Technology,Computer Software: Prepackaged Software
DAVE,Consumer Services,Restaurants
FARM,Consumer Non-Durables,Packaged Foods
FFKT,Finance,Major Banks
FMNB,Finance,Major Banks
FARO,Capital Goods,Industrial Machinery/Components
FAST,Consumer Services,RETAIL: Building Materials
FATE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBSS,Finance,Major Banks
FBRC,Finance,Investment Bankers/Brokers/Service
FDML,Capital Goods,Auto Parts:O.E.M.
FNHC,Finance,Property-Casualty Insurers
FEIC,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FHCO,Basic Industries,Specialty Chemicals
FENX,Consumer Services,Motor Vehicles
FCSC,Health Care,Major Pharmaceuticals
FGEN,Health Care,Major Pharmaceuticals
ONEQ,n/a,n/a
LION,Finance,Major Banks
FDUS,n/a,n/a
FRGI,Consumer Services,Restaurants
FSAM,Finance,Investment Managers
FSC,n/a,n/a
FSCFL,n/a,n/a
FSFR,n/a,n/a
FITB,Finance,Major Banks
FITBI,Finance,Major Banks
FNGN,Finance,Investment Managers
FISI,Finance,Major Banks
FNSR,Technology,Semiconductors
FNJN,Miscellaneous,Multi-Sector Companies
FNTC,Finance,Business Services
FNTCU,Finance,Business Services
FNTCW,Finance,Business Services
FEYE,Technology,Computer peripheral equipment
FBNC,Finance,Major Banks
FNLC,Finance,Major Banks
FRBA,n/a,n/a
BUSE,Finance,Major Banks
FBIZ,Finance,Major Banks
FCVA,Finance,Major Banks
FCAP,Finance,Savings Institutions
FCFS,Consumer Services,Other Specialty Stores
FCNCA,Finance,Major Banks
FCLF,Finance,Major Banks
FCBC,Finance,Major Banks
FCCO,Finance,Major Banks
FCFP,Finance,Major Banks
FBNK,Finance,Banks
FDEF,Finance,Savings Institutions
FFNM,Finance,Major Banks
FFBC,Finance,Major Banks
FFBCW,Finance,Major Banks
FFIN,Finance,Major Banks
THFF,Finance,Major Banks
FFNW,Finance,Banks
FFWM,Finance,Major Banks
FGBI,Finance,Savings Institutions
INBK,Finance,Major Banks
FIBK,Finance,Major Banks
FRME,Finance,Major Banks
FMBH,Finance,Major Banks
FMBI,Finance,Major Banks
FNBC,Finance,Major Banks
FNFG,Finance,Major Banks
FNWB,Finance,Banks
FSFG,Finance,Savings Institutions
FSLR,Technology,Semiconductors
FSBK,Finance,Major Banks
FPA,n/a,n/a
BICK,n/a,n/a
FBZ,n/a,n/a
FCAN,n/a,n/a
FTCS,n/a,n/a
FCA,n/a,n/a
FDT,n/a,n/a
FDTS,n/a,n/a
FV,n/a,n/a
IFV,n/a,n/a
FEM,n/a,n/a
FEMB,n/a,n/a
FEMS,n/a,n/a
FTSM,n/a,n/a
FEP,n/a,n/a
FEUZ,n/a,n/a
FGM,n/a,n/a
FTGC,n/a,n/a
FTHI,n/a,n/a
HYLS,n/a,n/a
FHK,n/a,n/a
FPXI,n/a,n/a
YDIV,n/a,n/a
SKYY,n/a,n/a
CU,n/a,n/a
PLTM,n/a,n/a
FJP,n/a,n/a
FLN,n/a,n/a
FTLB,n/a,n/a
LMBS,n/a,n/a
FMB,n/a,n/a
QABA,n/a,n/a
CIBR,n/a,n/a
FONE,n/a,n/a
QCLN,n/a,n/a
GRID,n/a,n/a
CARZ,n/a,n/a
RDVY,n/a,n/a
TDIV,n/a,n/a
QQEW,n/a,n/a
QQXT,n/a,n/a
QTEC,n/a,n/a
AIRR,n/a,n/a
QINC,n/a,n/a
FTSL,n/a,n/a
FKO,n/a,n/a
FCVT,n/a,n/a
FDIV,n/a,n/a
FSZ,n/a,n/a
FTW,n/a,n/a
TUSA,n/a,n/a
FKU,n/a,n/a
FUNC,Finance,Major Banks
SVVC,n/a,n/a
FMER,Finance,Major Banks
FSV,Finance,Real Estate
FISV,Technology,EDP Services
FIVE,Consumer Services,Department/Specialty Retail Stores
FPRX,Health Care,Major Pharmaceuticals
FIVN,Technology,EDP Services
FLML,Health Care,Major Pharmaceuticals
FLKS,Health Care,Major Pharmaceuticals
FLXN,Health Care,Major Pharmaceuticals
SKOR,n/a,n/a
LKOR,n/a,n/a
MBSD,n/a,n/a
ASET,n/a,n/a
QLC,n/a,n/a
FLXS,Consumer Durables,Home Furnishings
FLEX,Technology,Electrical Products
FLIR,Capital Goods,Industrial Machinery/Components
FLDM,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FFIC,Finance,Major Banks
FOMX,Consumer Durables,Specialty Chemicals
FOGO,Consumer Services,Restaurants
FONR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
FES,Energy,Oilfield Services/Equipment
FORM,Technology,Semiconductors
FORTY,Technology,EDP Services
FORR,Consumer Services,Diversified Commercial Services
FTNT,Technology,Computer peripheral equipment
FBIO,Health Care,Major Pharmaceuticals
FWRD,Transportation,Oil Refining/Marketing
FORD,Consumer Non-Durables,Plastic Products
FWP,Health Care,Major Pharmaceuticals
FOSL,Consumer Non-Durables,Consumer Specialties
FMI,Health Care,Medical Specialities
FXCB,Finance,Banks
FOXF,Consumer Non-Durables,Motor Vehicles
FRAN,Consumer Services,Clothing/Shoe/Accessory Stores
FELE,Consumer Durables,Metal Fabrications
FRED,Consumer Services,Department/Specialty Retail Stores
FREE,Transportation,Marine Transportation
RAIL,Capital Goods,Railroads
FEIM,Capital Goods,Electrical Products
FRPT,Consumer Non-Durables,Packaged Foods
FTR,Public Utilities,Telecommunications Equipment
FTRPR,Public Utilities,Telecommunications Equipment
FRPH,Finance,Real Estate
FSBW,Finance,Banks
FTD,Consumer Services,Other Consumer Services
FSYS,Capital Goods,Auto Parts:O.E.M.
FTEK,Capital Goods,Pollution Control Equipment
FCEL,Miscellaneous,Industrial Machinery/Components
FORK,Consumer Non-Durables,Plastic Products
FULL,n/a,n/a
FULLL,n/a,n/a
FLL,Consumer Services,Hotels/Resorts
FULT,Finance,Major Banks
FSNN,Technology,Computer Software: Prepackaged Software
FFHL,Capital Goods,Specialty Chemicals
FXEN,Energy,Oil & Gas Production
FXENP,Energy,Oil & Gas Production
GK,Consumer Services,Other Consumer Services
WILC,Consumer Non-Durables,Food Distributors
GAIA,Consumer Services,Movies/Entertainment
GLPG,Health Care,Major Pharmaceuticals
GALT,Health Care,Major Pharmaceuticals
GALTU,Health Care,Major Pharmaceuticals
GALTW,Health Care,Major Pharmaceuticals
GALE,Health Care,Major Pharmaceuticals
GLMD,Health Care,Major Pharmaceuticals
GLPI,Consumer Services,Real Estate Investment Trusts
GPIC,Consumer Non-Durables,Recreational Products/Toys
GRMN,Capital Goods,Industrial Machinery/Components
GGAC,Finance,Business Services
GGACR,Finance,Business Services
GGACU,Finance,Business Services
GGACW,Finance,Business Services
GARS,n/a,n/a
GENC,Capital Goods,Construction/Ag Equipment/Trucks
GNCMA,Public Utilities,Telecommunications Equipment
GFN,Consumer Services,Other Specialty Stores
GFNCP,Consumer Services,Other Specialty Stores
GFNSL,Consumer Services,Other Specialty Stores
GENE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GNMK,Health Care,Medical/Dental Instruments
GNCA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GHDX,Health Care,Medical Specialities
GNTX,Capital Goods,Auto Parts:O.E.M.
THRM,Capital Goods,Auto Parts:O.E.M.
GNVC,Health Care,Major Pharmaceuticals
GTWN,Finance,Major Banks
GEOS,Capital Goods,Industrial Machinery/Components
GABC,Finance,Major Banks
GERN,Health Care,Major Pharmaceuticals
GEVO,Basic Industries,Major Chemicals
ROCK,Capital Goods,Steel/Iron Ore
GIGM,Technology,"Computer Software: Programming, Data Processing"
GIGA,Capital Goods,Electrical Products
GIII,Consumer Non-Durables,Apparel
GILT,Technology,Radio And Television Broadcasting And Communications Equipment
GILD,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GBCI,Finance,Major Banks
GLAD,n/a,n/a
GLADO,n/a,n/a
GOOD,Consumer Services,Real Estate
GOODN,Consumer Services,Real Estate
GOODO,Consumer Services,Real Estate
GOODP,Consumer Services,Real Estate
GAIN,n/a,n/a
GAINN,n/a,n/a
GAINO,n/a,n/a
GAINP,n/a,n/a
LAND,Consumer Services,Real Estate Investment Trusts
GLBZ,Finance,Major Banks
GBT,Health Care,Major Pharmaceuticals
ENT,Consumer Services,Telecommunications Equipment
GBLI,Finance,Property-Casualty Insurers
GBLIZ,Finance,Property-Casualty Insurers
GPAC,Finance,Business Services
GPACU,Finance,Business Services
GPACW,Finance,Business Services
GSOL,Consumer Services,Advertising
ACTX,n/a,n/a
QQQC,n/a,n/a
SOCL,n/a,n/a
ALTY,n/a,n/a
SRET,n/a,n/a
YLCO,n/a,n/a
GAI,Consumer Durables,Home Furnishings
GSM,Capital Goods,Metal Fabrications
GBIM,Health Care,Major Pharmaceuticals
GLBS,Transportation,Marine Transportation
GLRI,Energy,Oil & Gas Production
GLUU,Technology,EDP Services
GLYC,Health Care,Major Pharmaceuticals
GOGO,Consumer Services,Telecommunications Equipment
GLNG,Consumer Services,Marine Transportation
GMLP,Consumer Services,Marine Transportation
GLDC,Consumer Non-Durables,Packaged Foods
GDEN,Consumer Services,Services-Misc. Amusement & Recreation
GOGL,Consumer Services,Marine Transportation
GBDC,n/a,n/a
GTIM,Consumer Services,Restaurants
GPRO,Miscellaneous,Industrial Machinery/Components
GMAN,Consumer Services,Clothing/Shoe/Accessory Stores
GRSH,Finance,Business Services
GRSHU,Finance,Business Services
GRSHW,Finance,Business Services
GPIA,Finance,Business Services
GPIAU,Finance,Business Services
GPIAW,Finance,Business Services
LOPE,Consumer Services,Other Consumer Services
GRVY,Miscellaneous,Business Services
GBSN,Health Care,Medical/Dental Instruments
GLDD,Basic Industries,Military/Government/Technical
GSBC,Finance,Major Banks
GNBC,Finance,Major Banks
GRBK,Capital Goods,Homebuilding
GPP,Basic Industries,Major Chemicals
GPRE,Basic Industries,Major Chemicals
GCBC,Finance,Banks
GLRE,Finance,Property-Casualty Insurers
GRIF,Finance,Real Estate
GRFS,Health Care,Major Pharmaceuticals
GRPN,Technology,Advertising
OMAB,Transportation,Aerospace
GGAL,Finance,Commercial Banks
GSIG,Miscellaneous,Industrial Machinery/Components
GSIT,Technology,Semiconductors
GSVC,n/a,n/a
GTXI,Health Care,Major Pharmaceuticals
GBNK,Finance,Major Banks
GFED,Finance,Major Banks
GUID,Technology,Computer Software: Prepackaged Software
GIFI,Capital Goods,Metal Fabrications
GURE,Basic Industries,Major Chemicals
GPOR,Energy,Oil & Gas Production
GWPH,Health Care,Major Pharmaceuticals
GWGH,Finance,Life Insurance
GYRO,n/a,n/a
HEES,n/a,n/a
HLG,Consumer Services,Other Consumer Services
HNRG,Energy,Coal Mining
HALL,Finance,Property-Casualty Insurers
HALO,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HBK,Finance,Savings Institutions
HMPR,Finance,Major Banks
HBHC,Finance,Major Banks
HBHCL,Finance,Major Banks
HNH,Capital Goods,Industrial Specialties
HAFC,Finance,Major Banks
HNSN,Health Care,Industrial Specialties
HQCL,Technology,Semiconductors
HDNG,Capital Goods,Industrial Machinery/Components
HLIT,Technology,Radio And Television Broadcasting And Communications Equipment
HRMN,Finance,Business Services
HRMNU,Finance,Business Services
HRMNW,Finance,Business Services
TINY,Finance,Finance/Investors Services
HART,Health Care,Medical/Dental Instruments
HBIO,Capital Goods,Biotechnology: Laboratory Analytical Instruments
HCAP,n/a,n/a
HCAPL,n/a,n/a
HAS,Consumer Non-Durables,Recreational Products/Toys
HA,Transportation,Air Freight/Delivery Services
HCOM,Consumer Services,Telecommunications Equipment
HWKN,Consumer Durables,Specialty Chemicals
HWBK,Finance,Major Banks
HAYN,Capital Goods,Steel/Iron Ore
HDS,Consumer Services,Office Equipment/Supplies/Services
HIIQ,Finance,Specialty Insurers
HCSG,Health Care,Hospital/Nursing Management
HQY,Miscellaneous,Business Services
HSTM,Technology,"Computer Software: Programming, Data Processing"
HWAY,Health Care,Hospital/Nursing Management
HTLD,Transportation,Trucking Freight/Courier Services
HTLF,Finance,Major Banks
HTWR,Health Care,Medical/Dental Instruments
HTBX,Health Care,Major Pharmaceuticals
HSII,Technology,Diversified Commercial Services
HELE,Consumer Durables,Home Furnishings
HMNY,Consumer Services,Other Consumer Services
HMTV,Consumer Services,Television Services
HNNA,Finance,Investment Managers
HCAC,Finance,Business Services
HCACU,Finance,Business Services
HCACW,Finance,Business Services
HSIC,Health Care,Medical Specialities
HERO,Energy,Oil & Gas Production
HTBK,Finance,Major Banks
HFWA,Finance,Banks
HEOP,Finance,Major Banks
HCCI,Basic Industries,Miscellaneous
MLHR,Consumer Durables,Office Equipment/Supplies/Services
HRTX,Health Care,Major Pharmaceuticals
HSKA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HFFC,Finance,Savings Institutions
HIBB,Consumer Services,Other Specialty Stores
HPJ,Miscellaneous,Industrial Machinery/Components
HIHO,Capital Goods,Metal Fabrications
HIMX,Technology,Semiconductors
HIFS,n/a,n/a
HSGX,Health Care,Industrial Specialties
HMNF,Finance,Savings Institutions
HMSY,Miscellaneous,Business Services
HOLI,Energy,Industrial Machinery/Components
HOLX,Health Care,Medical Electronics
HBCP,Finance,Banks
HOMB,Finance,Major Banks
HFBL,Finance,Savings Institutions
AWAY,Technology,EDP Services
HMIN,Consumer Services,Hotels/Resorts
HMST,Finance,Banks
HTBI,Finance,Savings Institutions
HKTV,Public Utilities,Telecommunications Equipment
CETC,Basic Industries,Steel/Iron Ore
HOFT,Consumer Durables,Home Furnishings
HFBC,Finance,Major Banks
HBNC,Finance,Major Banks
HZNP,Health Care,Major Pharmaceuticals
HRZN,n/a,n/a
ZINC,Capital Goods,Metal Fabrications
HDP,Technology,Computer Software: Prepackaged Software
HMHC,Consumer Services,Books
HWCC,Consumer Non-Durables,Telecommunications Equipment
HOVNP,Capital Goods,Homebuilding
HBMD,Finance,Major Banks
HSNI,Consumer Services,Other Specialty Stores
HTGM,Capital Goods,Biotechnology: Laboratory Analytical Instruments
HUBG,Transportation,Oil Refining/Marketing
HSON,Technology,Professional Services
